pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
Kepler-1431 b,Kepler-1431,0.0648,1.45,1.04,1.45,1.04,78.26904986,6.69619695
Kepler-1433 b,Kepler-1433,0.0516,1.43,1.15,1.43,1.15,87.7579617,4.822124438
Kepler-1436 b,Kepler-1436,0.0881,1.26,1.05,1.26,1.05,90.93759799,9.017230296
Kepler-1437 b,Kepler-1437,,2.316,1.66,2.316,1.66,78.21575786,0
Kepler-1438 b,Kepler-1438,0.0346,1.24,1.25,1.24,1.25,110.0051589,2.974764828
Kepler-144 b,Kepler-144,0.066,1.33,1.24,1.33,1.24,101.7407111,5.720168242
Kepler-144 c,Kepler-144,,1.58,1.47,1.58,1.47,101.5277993,0
Kepler-1440 b,Kepler-1440,0.226,1.31,1.08,1.31,1.08,89.9657458,22.48905651
Kepler-1441 b,Kepler-1441,,1.31,1,1.31,1,83.30161648,0
Kepler-1445 b,Kepler-1445,,1.134,1.35,1.134,1.35,129.9108543,0
Kepler-1446 b,Kepler-1446,0.0151,1.86,1.75,1.86,1.75,102.6714816,0.927311084
Kepler-145 b,Kepler-145,0.1732,2.2,1.85,2.2,1.85,91.76430343,10.06149953
Kepler-1452 b,Kepler-1452,,2.712,2.11,2.712,2.11,84.90191671,0
Kepler-1464 c,Kepler-1464,,1,1.01,1,1.01,110.2163688,0
Kepler-1466 b,Kepler-1466,,1.395,0.98,1.395,0.98,76.66137293,0
Kepler-1468 c,Kepler-1468,0.0466,1.62,1.5,1.62,1.5,101.0417755,3.33872931
Kepler-147 b,Kepler-147,0.1095,1.29,1.26,1.29,1.26,106.5873242,9.339639778
Kepler-1470 b,Kepler-1470,,1.111,0.79,1.111,0.79,77.59571818,0
Kepler-1471 b,Kepler-1471,,1.262,0.88,1.262,0.88,76.09358437,0
Kepler-1472 b,Kepler-1472,0.2322,1.54,1.11,1.54,1.11,78.65511723,22.4815261
Kepler-1473 b,Kepler-1473,,1.19,1.09,1.19,1.09,99.95493964,0
Kepler-1482 b,Kepler-1482,,1.01,0.84,1.01,0.84,90.75752354,0
Kepler-1483 b,Kepler-1483,,1.366,1.38,1.366,1.38,110.2435302,0
Kepler-1485 b,Kepler-1485,0.1467,1.41,1.09,1.41,1.09,84.35913346,14.46405845
